SAFE MEBP Dashboard,,,,,,,,,,
,Block,Task_ID,Created_By,Responsible,Description,Raised_On,Status,Completed_Date,Type,Resolution_Notes
30,N1 BLOCK,8185,Mano.c,Prasanth M,N1 passenger lift L-1 camera event breaking,2022-06-23,OPEN,,CCTV,
31,K BLOCK,8187,Mano.c,Prasanth M,K block eletrical room camera got failed,2022-06-23,OPEN,,CCTV,
32,G3 BLOCK,8189,Babu naik,Prasanth M,G3 Block terrace str-5 and L2 Block PL-C4 event breaking alternatively,2022-06-23,OPEN,,CCTV,
33,G2 BLOCK,8191,Mohiddin,Praveen M P,Jockey pump delivery line NRV gasket and jockey pump priming line NRV gasket replacement work has been completed,2022-06-23,OPEN,,FIRE FIGHTING,
34,G2 BLOCK,8193,Mohiddin,Praveen M P,Hydrant pump pressure gauge need to be replace,2022-06-23,OPEN,,HYDRANT SYSTEM,
35,N1 BLOCK,8177,babunaik,Prasanth M,"N1 Block PL-R5, F2 Block pump room, F2 Block Electical room, and L2 Block passenger lift B4 total 04 nos cameras got faild",2022-06-22,COMPLETED,,CCTV,
36,COMMON AREA,8163,Mano.c,Prasanth M,"K Block Gate-01,Gate-02 & Sky walk cameras got Failed .",2022-06-21,COMPLETED,,CCTV,
37,E1 BLOCK,8165,Ananda M,Praveen M P,Food court first Floor Sprinkler Leak 4No need to be rectifye,2022-06-21,OPEN,,SPRINKLER SYSTEM,
38,E2 BLOCK,8167,Ananda M,Praveen M P,Sprinkler Leak LT room opposite 3No,2022-06-21,OPEN,,SPRINKLER SYSTEM,
39,E2 MLCP,8169,Mohiddin,Jegathesh Johnson,Ground floor loop sort need to cable traceable & checking,2022-06-21,OPEN,,FIRE ALARM,
40,L2 BLOCK,8171,Mohiddin,Jegathesh Johnson,Alarm activated need to rectified,2022-06-21,COMPLETED,,FIRE ALARM,
41,E2 BLOCK,8173,Mohiddin,Jegathesh Johnson,Common area detectors failure need to be check,2022-06-21,COMPLETED,,FIRE ALARM,
42,COMMON AREA,8175,Babu naik,Prasanth M,Common area and all blocks backup plyaying issue total 385 nos playing issue,2022-06-21,OPEN,,CCTV,
43,COMMON AREA,8155,Babu naik,Prasanth M,Gate-1 gate-2 k block & sky walk total 32nos cameras failed and those cameras are alternative failed againe and againe,2022-06-19,COMPLETED,,CCTV,
44,COMMON AREA,8157,babu naik,Prasanth M,in zenetic softwere gate-1 gate-2 L1 L2 L5 C4 total 16 nos cameras got faild,2022-06-19,OPEN,,CCTV,
45,H2 BLOCK,8159,Nazmul,Prasanth M,H2 Block A wing and B Wing Passanger lift total 14 Cameras are offline,2022-06-19,COMPLETED,,CCTV,
46,COMMON AREA,8161,Babu naik,Prasanth M,"Gate-1, gate-2, k-block and skywalk total 33 nos cameras faild at 19:04hrs",2022-06-19,COMPLETED,,CCTV,
47,K BLOCK,8139,Venkat,Prasanth M,"Gate-1, Gate-2, Skywalk & K Block- Total 33 cameras are failed.",2022-06-18,COMPLETED,,CCTV,
48,K BLOCK,8141,Venkat,Prasanth M,"K Block, Gate 1, 2 & Skywalk - Total-33No's Camera's are failed.",2022-06-18,COMPLETED,,CCTV,
49,K BLOCK,8143,Venkat,Prasanth M,"K Block, Gate-1,2 & Skywalk Total-33No's Camera's are failed.",2022-06-18,COMPLETED,,CCTV,
50,H2 BLOCK,8145,Venkat,Prasanth M,H2 A Wing Entry & F3 Terrace Entry Camera's are failed.,2022-06-18,OPEN,,CCTV,
51,COMMON AREA,8147,Mano.c,Prasanth M,"Gate-01, 02, Skywalk & K block ( total-33 cameras got failed)",2022-06-18,COMPLETED,,CCTV,
52,COMMON AREA,8149,Mano.c,Prasanth M,"Gate-01, 02 , Skywalk & K block (total-33 cameras got offline )",2022-06-18,COMPLETED,,CCTV,
53,COMMON AREA,8151,Mano.c,Prasanth M,"Gate-01, 02 Skywalk & K block (total-33 cameras got failed)",2022-06-18,COMPLETED,,CCTV,
54,L1 BLOCK,8153,Venkateshappa,Praveen M P,Hydrant pump NRV water passing need to be rectify,2022-06-18,OPEN,,HYDRANT SYSTEM,
55,C1 BLOCK,8123,Babu naik,Prasanth M,C1 and F3 Blocks total 05 nos of cameras are got faild at04:05 hrs,2022-06-17,COMPLETED,,CCTV,
56,COMMON AREA,8125,Venkat,Prasanth M,Gate-1 Exit Lane-1 Camera is failed.,2022-06-17,COMPLETED,,CCTV,
57,L2 BLOCK,8127,Venkat,Prasanth M,L2 Passenger Lift - F Camera is failed.,2022-06-17,COMPLETED,,CCTV,
58,E1 BLOCK,8129,Ananda M,Jegathesh Johnson,"Food Court first Floor Counters area , klay school, Dish wash & toilets area smoke ditector not working",2022-06-17,OPEN,,FIRE ALARM,
59,E1 BLOCK,8131,Ananda M,Jegathesh Johnson,"GF , 1st , 2nd & 3rd above fall ceiling detectors not working",2022-06-17,OFFER SHARED AWAITING PO,,FIRE ALARM,
60,COMMON AREA,8133,Mano.c,Prasanth M,"Gate-01,Gate-02, K block & Sky walk Cameras got failed (total-33 nos cameras)",2022-06-17,COMPLETED,,CCTV,
61,COMMON AREA,8135,Mano.c,Prasanth M,Gate-03 cameras got Failed,2022-06-17,COMPLETED,,CCTV,
62,COMMON AREA,8137,Babu naik,Prasanth M,"Gate-1,gate-2, k-block and sky walk cameras total 32 nos got at 23;32 hrsfaild",2022-06-17,COMPLETED,,CCTV,
63,F3 BLOCK,8119,Venkat,Prasanth M,"F3 B Wing Passenger Lift - 9,12,13 & L1 Passenger Lift B Camera's are failed.",2022-06-16,OPEN,,CCTV,
64,B BLOCK,8121,Nandakumar CR,Praveen M P,Fire extinguisher 5 no's DCP 5kg pressure drop,2022-06-16,OPEN,,FIRE EXTINGUISHER,
65,E2 BLOCK,8109,Ananda M,Jegathesh Johnson,"Ground floor loop smoke detector not working Pump room, DG room , LT Room",2022-06-15,COMPLETED,,FIRE ALARM,
66,G4 BLOCK,8111,Mohiddin,Jegathesh Johnson,"Hooter, speaker rectification work",2022-06-15,COMPLETED,,FIRE ALARM,
67,N1 BLOCK,8113,Mano.c,Prasanth M,N1 Service Lift Lobby cameras Event Breaking (Failed),2022-06-15,OPEN,,CCTV,
68,L2 BLOCK,8097,Mohiddin,Praveen M P,Jockey pump cutoff issue rectification work..jockey pump timer and pressure switch has been replaced.,2022-06-14,OPEN,,FIRE FIGHTING,
69,G3 BLOCK,8098,Venkat,Prasanth M,"G3 Passenger Lift-6, G3 Passenger Lift-9 & N1 Passenger Lift R5 camera's are failed",2022-06-14,OPEN,,CCTV,
70,N1 BLOCK,8099,Mano.c,Prasanth M,N1 Block 27 nos Cameras got failed.,2022-06-14,COMPLETED,,CCTV,
71,COMMON AREA,8101,Mano.c,Prasanth M,Gate-03 cameras got failed 03 nos cameras,2022-06-14,COMPLETED,,CCTV,
72,COMMON AREA,8103,Mano.c,Prasanth M,F Parcel & G Parcel all cameras got failed,2022-06-14,COMPLETED,,CCTV,
73,E2 BLOCK,8105,Mano.c,Prasanth M,E1 & E2 Block cameras got failed,2022-06-14,COMPLETED,,CCTV,
74,F3 BLOCK,8089,Babu naik,Prasanth M,F3 block 05 nos cameras eventbreaking issue and L2 Block passenger lift F4 faild,2022-06-13,OPEN,,CCTV,
75,C4 BLOCK,8091,Venkat,Prasanth M,C4 South East camera is failed.,2022-06-13,COMPLETED,,CCTV,
76,H2 BLOCK,8093,Mano,Prasanth M,H2 A & B wing passenger Lift 14nos cameras got Failed,2022-06-13,COMPLETED,,CCTV,
77,G3 BLOCK,8095,Mohiddin,Jegathesh Johnson,Flow switch alarm rectification activity,2022-06-13,COMPLETED,,FIRE ALARM,
78,COMMON AREA,8085,Mano.c,Prasanth M,Gate-2 entry lane & gate-2 exit lane -2 cameras got failed,2022-06-12,COMPLETED,,CCTV,
79,COMMON AREA,8087,Mano.c,Prasanth M,Gate-2 entry lane- 1 & Exit lane-1 cameras got failed,2022-06-12,COMPLETED,,CCTV,
80,F3 BLOCK,8081,Venkat,Prasanth M,"F3 B Wing Passenger Lift -12, 13 & H2 A Wing Entry camera's are failed.",2022-06-11,COMPLETED,,CCTV,
81,G4 BLOCK,8083,Mano.c,Prasanth M,G4 North East camera Backup Breaking,2022-06-11,OPEN,,CCTV,
82,N1 BLOCK,8039,Venkat,Prasanth M,N1 Passenger Lift R5 Camera is failed.,2022-06-10,COMPLETED,,CCTV,
83,L2 BLOCK,8041,Venkateshappa,Jegathesh Johnson,"Staircase #2, 2 no's (2, 3rd floors) Hooter Not working",2022-06-10,OFFER SHARED AWAITING PO,,FIRE ALARM,
84,L2 BLOCK,8043,Venkateshappa,Jegathesh Johnson,"Staircase #2, 4 no's (LB, UB, 3rd, 5th,floors) MCP Not working",2022-06-10,OFFER SHARED AWAITING PO,,FIRE ALARM,
85,L2 BLOCK,8045,Venkateshappa,Jegathesh Johnson,"Staircase #2, 2 no's (2, 3rd floors) Speaker Not working",2022-06-10,OFFER SHARED AWAITING PO,,PA TALK BACK,
86,L2 BLOCK,8047,Venkateshappa,Jegathesh Johnson,"Staircase #4, 2 no's (5, 10th floors) Hooter Not working",2022-06-10,OFFER SHARED AWAITING PO,,FIRE ALARM,
87,L2 BLOCK,8049,Venkateshappa,Jegathesh Johnson,"Staircase #4, 3 no's (LB, UB, 1st floors) MCP Not working",2022-06-10,OFFER SHARED AWAITING PO,,FIRE ALARM,
88,F3 BLOCK,8051,Mano.c,Prasanth M,F3 DG room camera failed,2022-06-10,OPEN,,CCTV,
89,L2 BLOCK,8053,Venkateshappa,Jegathesh Johnson,"Staircase #4, 1 no (5th floor) Speaker Not working",2022-06-10,OFFER SHARED AWAITING PO,,PA TALK BACK,
90,L2 BLOCK,8055,Venkateshappa,Jegathesh Johnson,"Staircase #6, 1 no (1st floors) MCP Not working",2022-06-10,OFFER SHARED AWAITING PO,,FIRE ALARM,
91,L2 BLOCK,8057,Venkateshappa,Jegathesh Johnson,"DG, LT, LMR & Chiller room, Hooter, MCP & Speaker need to be programming",2022-06-10,OFFER SHARED AWAITING PO,,FIRE ALARM,
92,L3 BLOCK,8059,Venkateshappa,Jegathesh Johnson,PA system console is not working,2022-06-10,OFFER SHARED AWAITING PO,,PA TALK BACK,
93,L3 BLOCK,8061,Venkateshappa,Jegathesh Johnson,"Staircase #1, 3 no's (LB, UB, Ground floors) Hooter Not working",2022-06-10,OFFER SHARED AWAITING PO,,FIRE ALARM,
94,L3 BLOCK,8063,Venkateshappa,Jegathesh Johnson,"Staircase #1, 4 no's (UB,6 , 8, 10th floors) MCP Not working",2022-06-10,OFFER SHARED AWAITING PO,,FIRE ALARM,
95,L3 BLOCK,8065,Venkateshappa,Jegathesh Johnson,"Staircase #2, 3 no's (LB, UB, Ground floors) Hooter Not working",2022-06-10,OFFER SHARED AWAITING PO,,FIRE ALARM,
96,L3 BLOCK,8067,Venkateshappa,Jegathesh Johnson,"Staircase #2, 4 no's (3, 4, 8, 9th floors) MCP Not working",2022-06-10,OFFER SHARED AWAITING PO,,FIRE ALARM,
97,L3 BLOCK,8069,Venkateshappa,Jegathesh Johnson,"Staircase #3, 2 no (UB, 10th floors) Hooter Not working",2022-06-10,OFFER SHARED AWAITING PO,,FIRE ALARM,
98,L3 BLOCK,8071,Venkateshappa,Jegathesh Johnson,"Staircase #3, 3 no (2, 9, 10th floors) MCP Not working",2022-06-10,OFFER SHARED AWAITING PO,,FIRE ALARM,
99,L3 BLOCK,8073,Venkateshappa,Jegathesh Johnson,"LT room & DG room, Hooter not working",2022-06-10,OFFER SHARED AWAITING PO,,FIRE ALARM,
100,L5 BLOCK,8075,Dinakar Raj D,Praveen M P,Rusted sprinklers to be replace,2022-06-10,OPEN,,SPRINKLER SYSTEM,
101,E2 BLOCK,8077,Moohiddin,Jegathesh Johnson,3rd floor Detector false alarm activated,2022-06-10,COMPLETED,,FIRE ALARM,
102,G6 MLCP,8079,Mohiddin,Praveen M P,Water type extinguisher changed to abc type extinguisher,2022-06-10,COMPLETED,,FIRE EXTINGUISHER,
103,F3 BLOCK,7997,Babu naik,Prasanth M,F3 Block total-13 Nos of fixed cameras are faild,2022-06-09,COMPLETED,,CCTV,
104,G3 BLOCK,7999,Babu naik,Prasanth M,G3 Block total-08 nos of fixed and 01 nos of PTZ GOT FAILD,2022-06-09,COMPLETED,,CCTV,
105,G6 MLCP,8001,BABU NAIK,Prasanth M,G6 Block 09 nos cameras are got faild,2022-06-09,COMPLETED,,CCTV,
106,G2 BLOCK,8003,Satish,Jegathesh Johnson,FAS panel troubles need to rectify,2022-06-09,OPEN,,FIRE ALARM,
107,G2 BLOCK,8005,Satish,Jegathesh Johnson,Lt room & DG room MCP is not working,2022-06-09,OPEN,,FIRE ALARM,
108,G3 BLOCK,8007,Balakrishna,Jegathesh Johnson,A-wing PA console not working,2022-06-09,OFFER SHARED AWAITING PO,,PA TALK BACK,
109,G3 BLOCK,8009,Balakrishna,Jegathesh Johnson,A wing & B wing PA amplifier not working.,2022-06-09,OPEN,,PA TALK BACK,
110,G4 BLOCK,8011,Balakrishna,Jegathesh Johnson,FAS UPS inverter issue.,2022-06-09,OFFER SHARED AWAITING PO,,FIRE ALARM,
111,G4 BLOCK,8013,Balakrishna,Jegathesh Johnson,FA system ground fault & 252 no's troubles need to be rectified.,2022-06-09,OFFER SHARED AWAITING PO,,FIRE ALARM,
112,L1 BLOCK,8015,Venkateshappa,Jegathesh Johnson,"Staircase #1, 3 no's (GF, 7th, 8h floors) MCP Not working",2022-06-09,OFFER SHARED AWAITING PO,,FIRE ALARM,
113,L1 BLOCK,8017,Venkateshappa,Jegathesh Johnson,"Staircase #1, 2 no's (6th, 7th floors) Speaker Not working",2022-06-09,OFFER SHARED AWAITING PO,,PA TALK BACK,
114,L1 BLOCK,8019,Venkateshappa,Jegathesh Johnson,"Staircase #3, 2 no's (GF, 1st floors) MCP Not working",2022-06-09,OFFER SHARED AWAITING PO,,FIRE ALARM,
115,L1 BLOCK,8021,Venkateshappa,Jegathesh Johnson,"Staircase #3, 3 no's (LB, 6th, 7th floors) Speaker Not working",2022-06-09,OFFER SHARED AWAITING PO,,PA TALK BACK,
116,L1 BLOCK,8023,Venkateshappa,Jegathesh Johnson,"Staircase #5, 5 no's (LB, UB, 3, 7 9th floors) Hooter Not working",2022-06-09,OFFER SHARED AWAITING PO,,FIRE ALARM,
117,L1 BLOCK,8025,Venkateshappa,Jegathesh Johnson,"Staircase #5, 1 no (7th floor) MCP Not working",2022-06-09,OFFER SHARED AWAITING PO,,FIRE ALARM,
118,L1 BLOCK,8027,Venkateshappa,Jegathesh Johnson,"Staircase #5, 2 no's (6th, 7th floors) Speaker Not working",2022-06-09,OFFER SHARED AWAITING PO,,PA TALK BACK,
119,L1 BLOCK,8029,Venkateshappa,Jegathesh Johnson,"Staircase, Some MCP location not showing in panel",2022-06-09,OFFER SHARED AWAITING PO,,FIRE ALARM,
120,L1 BLOCK,8031,Venkateshappa,Jegathesh Johnson,FAS panel drill button not working,2022-06-09,OPEN,,FIRE ALARM,
121,L1 BLOCK,8033,Venkateshappa,Jegathesh Johnson,Hooter is without alarm activated directly,2022-06-09,OPEN,,FIRE ALARM,
122,G3 BLOCK,8035,Mohiddin,Jegathesh Johnson,"Smoke detector activated in A wing 1st floor our team go & check it rectified , panel in normal",2022-06-09,COMPLETED,,FIRE ALARM,
123,G3 BLOCK,8037,Mohiddin,Jegathesh Johnson,"Smoke detector activated in A wing 1st floor our team go & check it rectified , panel in normal",2022-06-09,COMPLETED,,FIRE ALARM,
124,H2 BLOCK,7923,Mano,Prasanth M,H2 Awing Pl-6 camera Failed,2022-06-08,OPEN,,CCTV,
125,F3 BLOCK,7925,Mano,Prasanth M,F3 LT Room -2 camera Failed,2022-06-08,COMPLETED,,CCTV,
126,F3 BLOCK,7927,Mano,Prasanth M,F3 West PTZ camera Failed,2022-06-08,COMPLETED,,CCTV,
127,F3 BLOCK,7929,Mano,Prasanth M,F3 pump Room Entry - 2 camera Failed.,2022-06-08,COMPLETED,,CCTV,
128,G2 BLOCK,7931,Satish,Praveen M P,Jockey pump leakage need to rectify,2022-06-08,OPEN,,FIRE FIGHTING,
129,COMMON AREA,7933,Mano.c,Prasanth M,PTZ cameras Rotation Again and Again getting stopped .,2022-06-08,OPEN,,CCTV,
130,H2 BLOCK,7935,Ranjith m,Praveen M P,B wing jockey pump leckage,2022-06-08,OPEN,,FIRE FIGHTING,
131,COMMON AREA,7937,Mano,Prasanth M,Central Park PTZ Camera got Failed.,2022-06-08,COMPLETED,,CCTV,
132,H2 BLOCK,7939,Ranjith m,Praveen M P,Jockey pump nrv service,2022-06-08,OPEN,,FIRE FIGHTING,
133,H2 BLOCK,7941,Ranjith m,Praveen M P,A wing all pumps NRV servicing required,2022-06-08,OPEN,,FIRE FIGHTING,
134,H2 BLOCK,7943,Ranjith m,Praveen M P,B wing all pumps NRV servicing required,2022-06-08,OPEN,,FIRE FIGHTING,
135,H1 BLOCK,7945,Ranjith m,Praveen M P,North wing all fire pumps NRV servicing required,2022-06-08,OPEN,,FIRE FIGHTING,
136,H1 BLOCK,7947,Ranjith m,Praveen M P,South wing all fire pumps NRV servicing required,2022-06-08,OPEN,,FIRE FIGHTING,
137,F3 BLOCK,7949,Mano,Prasanth M,F3 A wing Passenger Lift- 3 camaera failed .,2022-06-08,COMPLETED,,CCTV,
138,G4 BLOCK,7951,Mano.c,Prasanth M,G4 North East Ptz Camera Backup Breaking,2022-06-08,OPEN,,CCTV,
139,G3 BLOCK,7953,Mano.c,Prasanth M,G3 Terrace Staircase-2 & 5 cameras Failed,2022-06-08,COMPLETED,,CCTV,
140,F3 BLOCK,7955,Manjunath Rao,Jegathesh Johnson,"Staircase -04, LB MCP not working",2022-06-08,OPEN,,FIRE ALARM,
141,F3 BLOCK,7957,Manjunath Rao,Jegathesh Johnson,"Staircase -04, 1st floor Hooter not working",2022-06-08,OPEN,,FIRE ALARM,
142,F3 BLOCK,7959,Manjunath Rao,Jegathesh Johnson,"Staircase -05, UB Speaker not working",2022-06-08,OPEN,,FIRE ALARM,
143,G6 MLCP,7961,Mano.c,Prasanth M,G6 MLCP PTZ camera Failed .,2022-06-08,COMPLETED,,CCTV,
144,F3 BLOCK,7963,Manjunath Rao,Jegathesh Johnson,"Staircase -05, UB Speaker not working",2022-06-08,OPEN,,PA TALK BACK,
145,F3 BLOCK,7965,Manjunath Rao,Jegathesh Johnson,"FAS Room, UPS invertor not working",2022-06-08,OPEN,,FIRE ALARM,
146,F3 BLOCK,7967,Manjunath Rao,Jegathesh Johnson,Mic not working,2022-06-08,OPEN,,PA TALK BACK,
147,G1 BLOCK,7969,Satish,Jegathesh Johnson,"Staircase #1, 4 No's (LB, UB, GF, 4th floor) MCP is not working",2022-06-08,OPEN,,FIRE ALARM,
148,G1 BLOCK,7971,Satish,Jegathesh Johnson,"Staircase #2, 4 No's (LB, UB, GF, 4th floor) MCP is not working",2022-06-08,OPEN,,FIRE ALARM,
149,G1 BLOCK,7973,Satish,Jegathesh Johnson,"Staircase #2, 1 No's (1st floor) Hooter is not working",2022-06-08,OPEN,,FIRE ALARM,
150,G1 BLOCK,7975,Satish,Jegathesh Johnson,"Staircase #3, 2 No's (GF, 8th floors) Hooter is not working",2022-06-08,OPEN,,FIRE ALARM,
151,G1 BLOCK,7977,Satish,Jegathesh Johnson,"Staircase #3, 5 No's (LB, UB, GF, 4th, 7th floor) MCP is not working",2022-06-08,OPEN,,FIRE ALARM,
152,G2 BLOCK,7979,Satish,Jegathesh Johnson,"Staircase #1, 3 No's (GF, 3, 5th floors) MCP is not working",2022-06-08,OPEN,,FIRE ALARM,
153,G2 BLOCK,7981,Satish,Jegathesh Johnson,"Staircase #1, 5 No's (LB, UB, 1, 3, 5th floors) Hooter is not working",2022-06-08,OPEN,,FIRE ALARM,
154,G2 BLOCK,7983,Satish,Jegathesh Johnson,"Staircase #3, 5 No's (2, 3, 6, 7, 8th floors) Speaker is not working",2022-06-08,OPEN,,PA TALK BACK,
155,G2 BLOCK,7985,Satish,Jegathesh Johnson,"Staircase #3, 5 No's (GF, 1,3, 4, 5th floors) MCP is not working",2022-06-08,OPEN,,FIRE ALARM,
156,G3 BLOCK,7987,Mano.c,Prasanth M,G3 Staircase 1 camera Failed,2022-06-08,COMPLETED,,CCTV,
157,K BLOCK,7989,Babu naik,Prasanth M,K Block PTZ East and Electrical room fixed total 02 nos of cameras got faild,2022-06-08,COMPLETED,,CCTV,
158,F3 BLOCK,7991,Babu naik,Prasanth M,F3 A/wing PL-2 Breaking issue,2022-06-08,OPEN,,CCTV,
159,K BLOCK,7993,Venkat,Prasanth M,"K Block East, K Block Electrical Room, F3 A Wing Passenger Lift-3,4,5 & 6 Camera's are Failed",2022-06-08,COMPLETED,,CCTV,
160,G2 BLOCK,7847,Satish,Praveen M P,Pressure is not hold,2022-06-07,OPEN,,FIRE FIGHTING,
161,G2 BLOCK,7849,Satish,Praveen M P,Hydrant pump gland leakage need to rectify,2022-06-07,OPEN,,HYDRANT SYSTEM,
162,G4 BLOCK,7851,Balakrishna P N,Jegathesh Johnson,PA system is not working,2022-06-07,OPEN,,PA TALK BACK,
163,G2 BLOCK,7853,Satish,Jegathesh Johnson,Ground floor MCP is not working,2022-06-07,OPEN,,FIRE ALARM,
164,G3 BLOCK,7855,Balakrishna,Praveen M P,All locations butterfly valve servicing need to be done,2022-06-07,OPEN,,FIRE FIGHTING,
165,G4 BLOCK,7857,Balakrishna,Praveen M P,All locations butterfly valve servicing need to be done,2022-06-07,OPEN,,FIRE FIGHTING,
166,G6 MLCP,7859,Balakrishna,Praveen M P,All locations butterfly valve servicing need to be done,2022-06-07,OPEN,,FIRE FIGHTING,
167,G3 BLOCK,7861,Balakrishna,Praveen M P,All pumps alignment need to be check,2022-06-07,OPEN,,FIRE FIGHTING,
168,G4 BLOCK,7863,Balakrishna,Praveen M P,All pumps alignment need to be check,2022-06-07,OPEN,,FIRE FIGHTING,
169,G6 MLCP,7865,Balakrishna,Praveen M P,All pumps alignment need to be check,2022-06-07,OPEN,,FIRE FIGHTING,
170,G1 BLOCK,7867,Satish,Jegathesh Johnson,Ground floor MCP is not working,2022-06-07,OPEN,,FIRE ALARM,
171,H2 BLOCK,7869,Ranjith m,Praveen M P,Hydrant pump pressure switch need to be replace,2022-06-07,COMPLETED,,FIRE FIGHTING,
172,H2 BLOCK,7871,Ranjith m,Praveen M P,Hydrant pump gland roop need to be replace,2022-06-07,COMPLETED,,FIRE FIGHTING,
173,L7 MLCP,7873,Dinakar Raj D,Jegathesh Johnson,Staircase no 2 hooter not working,2022-06-07,OPEN,,FIRE ALARM,
174,L5 BLOCK,7875,Dinakar Raj D,Jegathesh Johnson,Floors 152 troubles to be rectify,2022-06-07,OPEN,,FIRE ALARM,
175,L5 BLOCK,7877,Dinakar Raj D,Jegathesh Johnson,Listen mode not clear,2022-06-07,OPEN,,PA TALK BACK,
176,L5 BLOCK,7879,Dinakar Raj D,Jegathesh Johnson,Staircase no 3 speaker issue,2022-06-07,OPEN,,PA TALK BACK,
177,L5 BLOCK,7881,Dinakar Raj D,Jegathesh Johnson,Staircase no 2 10th 9th 7th & 3rd floor sprinkler not working,2022-06-07,OPEN,,PA TALK BACK,
178,L6 BLOCK,7883,Dinakar Raj D,Jegathesh Johnson,Staircase no 1 8th floor sprinkler not working,2022-06-07,OPEN,,PA TALK BACK,
